xAcc,yAcc,zAcc
-2.544765,-0.449295,8.737301
-2.452526,-0.317631,9.93195
-2.598621,-0.191917,10.241993
-1.542778,-0.061443,9.949951
-0.134937,0.495266,9.250866
-0.076321,0.686737,8.520687
-0.301414,0.576645,7.785599
-0.733452,0.746693,7.498318
-1.238686,1.231396,7.853886
-2.405811,1.709106,8.254829
-2.973232,1.596634,9.373009
-3.698799,1.548729,10.985413
-4.841972,0.861546,11.974308
-5.999577,-0.105629,12.26635
-6.849518,-0.78091,11.514599
-6.237762,-0.861099,10.67775
-5.504013,0.118126,11.532452
-4.72578,0.757404,12.861294
-4.621639,0.112175,13.242004
-4.72102,-0.422962,12.720108
-4.845543,-0.673199,11.678547
-4.662403,-0.755768,10.834557
-4.155979,-0.221821,10.58923
-3.847126,0.118126,10.420372
-3.556274,0.497646,9.884045
-3.064281,1.0914,9.044964
-3.41256,0.920162,8.572014
-3.726322,0.819592,7.810741
-3.653275,1.1884,7.24094
-3.708321,1.262638,6.891323
-3.98489,1.122494,6.785992
-3.646133,1.0914,6.563427
-3.526371,0.708309,7.154652
-3.440231,0.24622,6.784801
-3.067852,-0.112919,6.388618
-2.31134,-0.208729,6.033051
-1.856392,-0.224201,5.954052
-1.786915,-0.49958,6.058193
-1.667301,-0.658768,6.788372
-1.858772,-0.782101,7.061371
-1.873203,-1.14719,7.88736
-1.663731,-1.196285,8.643871
-1.65049,-1.117287,8.740871
-1.755821,-1.238091,9.444717
-1.491302,-0.947239,10.40609
-1.958153,-0.928047,10.937508
-2.499241,-0.910194,11.366123
-2.701572,-0.912575,11.511028
-2.916996,-0.807243,11.806641
-2.372337,-0.369106,12.110733
-1.917389,-0.256485,12.0844
-1.692444,-0.856339,12.020874
-1.460209,-1.355473,11.372074
-1.431496,-1.243,10.892132
-1.485352,-0.869431,11.367313
-2.061104,-0.747288,11.742073
-3.219898,-1.044239,11.882069
-3.723942,-1.324379,12.145397
-3.866318,-1.24062,12.152687
-3.14566,-0.986813,11.358982
-3.164852,-0.321201,10.4049
-3.343231,-0.048203,9.988186
